Case_ID,Split,Institution,Provider_or_System,Use_Class,P,F,T,H,L,r,G,S_lambda,Fuzzy_TOPSIS_CC,Crisp_TOPSIS_CC_reconstructed,Crisp_TOPSIS_rank_reconstructed,Gate_documented,Gate_state,Mandatory_items,Missing_items,Missing_safeguards
C01,development,,,Campus LLM platform,0.8,0.5,0.5,0.5,0.7,0.55,0.6,0.3971959180145004,0.5967342814028533,0.6762955272185266,2,0,Hold,4,3,Institutional use policy | Human oversight | Restricted-use boundaries
C02,development,,,ASU ChatGPT Edu,0.8,0.5,0.5,0.5,0.7,0.55,0.6,0.3971959180145004,0.5967342814028533,0.6762955272185266,2,1,Documented,4,0,
C03,development,,,Khanmigo AI tutor,0.7,0.5,0.5,0.7,0.5,0.4,0.58,0.4296745679953963,0.5776629873269892,0.7032844415951066,1,1,Documented,4,0,
C04,development,,,Gradescope grading,0.5,0.5,0.7,0.8,0.5,0.7,0.6,0.354933218620089,0.5967342814028533,0.6092258093719869,3,0,Hold,4,3,Human appeal | Audit trail | Fairness or bias evidence
C05,development,,,AI grading dossier,0.3,0.5,0.7,0.7,0.3,0.7,0.5,0.2957776821834075,0.5,0.4331530167389839,6,0,Hold,4,4,Human appeal | Audit trail | Fairness or bias evidence | Documented instructor-override protocol
C06,development,,,AI detection/integrity,0.5,0.3,0.7,0.5,0.5,0.7,0.5,0.2957776821834075,0.5,0.4238960349040858,7,0,Hold,4,2,Appeal pathway | Student contestability
C07,development,,,Respondus Monitor,0.8,0.3,0.5,0.5,0.7,0.9,0.5599999999999999,0.2851275955402275,0.5579098554999021,0.5319385281150601,4,0,Hold,5,3,Proportionality assessment | Contestability | Human review
C08,development,,,Proctoring dossier,0.7,0.3,0.5,0.3,0.5,0.9,0.4599999999999999,0.2342119534794726,0.4611869738388693,0.366779674510608,8,0,Hold,5,2,Proportionality assessment | Contestability
C09,development,,,Advising chatbot,0.3,0.5,0.5,0.7,0.3,0.5,0.4599999999999999,0.3161530682438472,0.4611869738388693,0.4553694600278479,5,0,Hold,4,3,Escalation to staff | Privacy policy | Institutional accountability
C10,development,,,AI admission/access,0.5,0.5,0.7,0.3,0.3,0.9,0.4599999999999999,0.2342119534794726,0.4611869738388693,0.3084367635638667,10,0,Hold,4,3,Explainability | Legal review | Appeal or human reconsideration
C11,development,,,Admissions counseling RAG,0.3,0.3,0.7,0.5,0.3,0.6,0.4199999999999999,0.2678038236811447,0.4224108475680281,0.3209559074908792,9,0,Hold,4,3,Fairness evidence | Human reconsideration | Legal review if used for access decisions
H001,prospective_holdout,University of Michigan,U-M GPT,Campus LLM / GenAI platform,0.5,0.3,0.7,0.5,0.7,0.55,0.54,0.3574763262130503,0.5388130261611306,0.6490971224416091,3,1,Documented,4,0,
H002,prospective_holdout,"University of California, Irvine",ZotGPT Chat,Campus LLM / GenAI platform,0.5,0.3,0.5,0.1,0.7,0.55,0.42,0.2780371426101503,0.4239189772612567,0.4960128032072257,10,0,Hold,4,1,Human oversight
H003,prospective_holdout,Harvard University,AI Sandbox,Campus LLM / GenAI platform,0.7,0.3,0.5,0.5,0.7,0.55,0.54,0.3574763262130503,0.5388130261611306,0.7315081175278464,1,1,Documented,4,0,
H004,prospective_holdout,Stanford University,Gradescope,AI-assisted grading,0.5,0.3,0.5,0.7,0.5,0.7,0.5,0.2957776821834075,0.5,0.6282894917273665,4,0,Hold,4,2,Audit trail | Fairness or bias evidence
H005,prospective_holdout,Boston University,Gradescope,AI-assisted grading,0.5,0.3,0.5,0.7,0.5,0.7,0.5,0.2957776821834075,0.5,0.6282894917273665,4,0,Hold,4,2,Audit trail | Fairness or bias evidence
H006,prospective_holdout,University of North Dakota,Gradescope,AI-assisted grading,0.5,0.3,0.5,0.7,0.5,0.7,0.5,0.2957776821834075,0.5,0.6282894917273665,4,0,Hold,4,2,Audit trail | Fairness or bias evidence
H007,prospective_holdout,University of Iowa,Honorlock,AI proctoring / integrity,0.7,0.1,0.7,0.7,0.5,0.9,0.54,0.2749444671280766,0.5399471388499505,0.5713639280329607,5,0,Hold,5,1,Proportionality assessment
H008,prospective_holdout,Case Western Reserve University,Honorlock,AI proctoring / integrity,0.7,0.1,0.5,0.7,0.7,0.9,0.5399999999999999,0.2749444671280765,0.5399471388499505,0.5698389047290281,6,0,Hold,5,1,Proportionality assessment
H009,prospective_holdout,Rochester Institute of Technology,Honorlock,AI proctoring / integrity,0.5,0.1,0.7,0.7,0.5,0.9,0.5,0.2545782103037746,0.5012837077377088,0.4977855001601657,9,0,Hold,5,3,Privacy assessment | Proportionality assessment | Cybersecurity and retention evidence
H010,prospective_holdout,Western Nebraska Community College,Element451,Admissions / enrollment AI support,0.1,0.1,0.5,0.3,0.5,0.6,0.3,0.1912884454865319,0.3097958960631879,0.2255564288500688,13,0,Hold,3,2,Fairness evidence | Human reconsideration or staff escalation
H011,prospective_holdout,Midland College,Element451,Admissions / enrollment AI support,0.9,0.1,0.5,0.1,0.7,0.9,0.4599999999999999,0.2342119534794726,0.4628689393056445,0.4990112199366109,8,0,Hold,4,3,Fairness evidence | Human reconsideration or staff escalation | Legal review if used for access decisions
H012,prospective_holdout,New York University,NYUAdmissionsBot,Admissions / enrollment AI support,0.3,0.1,0.5,0.7,0.5,0.6,0.42,0.2678038236811448,0.4239189772612567,0.4409569086833995,12,0,Hold,3,1,Fairness evidence
