Case_ID,Safeguard_ID,Mandatory_Safeguard,m_ij
C01,C01-M01,Privacy/data terms,1
C01,C01-M02,Institutional use policy,0
C01,C01-M03,Human oversight,0
C01,C01-M04,Restricted-use boundaries,0
C02,C02-M01,Privacy/data terms,1
C02,C02-M02,Institutional use policy,1
C02,C02-M03,Human oversight,1
C02,C02-M04,Restricted-use boundaries,1
C03,C03-M01,Privacy evidence,1
C03,C03-M02,Transparency to learners,1
C03,C03-M03,Adult/instructor supervision,1
C03,C03-M04,Harm-monitoring process,1
C04,C04-M01,Human appeal,0
C04,C04-M02,Audit trail,0
C04,C04-M03,Fairness or bias evidence,0
C04,C04-M04,Documented instructor-override protocol,1
C05,C05-M01,Human appeal,0
C05,C05-M02,Audit trail,0
C05,C05-M03,Fairness or bias evidence,0
C05,C05-M04,Documented instructor-override protocol,0
C06,C06-M01,False-positive handling,1
C06,C06-M02,Non-sole-use rule,1
C06,C06-M03,Appeal pathway,0
C06,C06-M04,Student contestability,0
C07,C07-M01,Privacy assessment,1
C07,C07-M02,Proportionality assessment,0
C07,C07-M03,Contestability,0
C07,C07-M04,Cybersecurity and retention evidence,1
C07,C07-M05,Human review,0
C08,C08-M01,Privacy assessment,1
C08,C08-M02,Proportionality assessment,0
C08,C08-M03,Contestability,0
C08,C08-M04,Cybersecurity and retention evidence,1
C08,C08-M05,Human review,1
C09,C09-M01,Scope limits,1
C09,C09-M02,Escalation to staff,0
C09,C09-M03,Privacy policy,0
C09,C09-M04,Institutional accountability,0
C10,C10-M01,Fairness audit,1
C10,C10-M02,Explainability,0
C10,C10-M03,Legal review,0
C10,C10-M04,Appeal or human reconsideration,0
C11,C11-M01,Admission-use boundaries,1
C11,C11-M02,Fairness evidence,0
C11,C11-M03,Human reconsideration,0
C11,C11-M04,Legal review if used for access decisions,0
